Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.579174,-1.419741,-1.43651,-1.354829,-1.342216,-1.526172,-1.515626,-1.487624,-1.400733,-1.475405
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.50206,-2.418561,-2.519349,-2.411068,-2.571222,-2.671054,-2.801084,-2.763864,-2.655531,-2.729808
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.540586,-1.193118,-1.193137,-1.118182,-0.9973711,-1.327688,-1.336691,-1.133277,-1.12069,-1.378587
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.335977,-1.26743,-1.240068,-1.135445,-1.117563,-1.037838,-0.9908541,-1.011603,-1.006792,-1.083459
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.448444,-1.360196,-1.385382,-1.332015,-1.323176,-1.226401,-1.325545,-1.453096,-1.463065,-1.523115
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.896546,-1.643081,-1.597348,-1.445761,-1.504086,-1.498478,-1.562423,-1.664038,-1.713714,-1.807697
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.6829866,-0.7264909,-0.6984319,-0.5481635,-0.4790351,-0.4051488,-0.4207218,-0.4786321,-0.5330888,-0.5401961
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2823794,-0.1436316,0.0919298,0.4859862,0.3461291,0.3446447,0.3784748,0.3705156,0.1111686,0.0839363
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.232936,0.1991688,0.2097187,0.2219903,0.1866678,0.1890221,0.223364,0.2541973,0.2738677,0.2371311
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.0623338,0.0220641,0.0488926,0.1437607,0.1571486,0.1709267,0.2037846,0.1807338,0.1427107,0.0873399
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.2082341,-0.2678901,-0.317147,-0.0859348,0.0100208,0.0130421,0.0768489,0.0572399,-0.0622132,-0.1357432
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.4553454,-0.5202896,-0.5180739,-0.3379574,-0.3283079,-0.3289996,-0.4043231,-0.4033851,-0.4110933,-0.3582943
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.5445604,-0.5032518,-0.473337,-0.5999988,-0.6456115,-0.6777601,-0.6018301,-0.65687,-0.6211485,-0.6418455
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.360561,-1.325043,-1.202371,-1.190535,-1.09016,-1.097526,-0.9157991,-0.8361196,-1.044343,-0.8601653
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-1.189574,-1.276868,-1.16597,-1.282962,-1.173605,-1.171879,-1.19422,-1.226688,-1.303447,-1.291494
Algeria,DZA,Voice and Accountability: Estimate,VA.EST,-1.004121,-0.9060266,-0.8933532,-0.8151981,-0.8490652,-0.8628893,-0.9040661,-1.000405,-1.056199,-1.102139
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.5646223,-0.5324013,-0.5344679,-0.478006,-0.5011278,-0.5313044,-0.5919687,-0.5273783,-0.5163999,-0.5258437
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.8076254,-0.7722415,-0.6894263,-0.7732704,-0.8640082,-0.8576039,-0.8636625,-0.7409661,-0.8157083,-0.7803177
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,0.3177803,0.3064892,0.3100019,1.225432,1.218931,1.228804,1.843864,1.845657,1.844056,1.314374
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9339902,0.9529908,0.9289858,1.080683,1.181357,1.193236,1.218863,1.216776,1.172189,1.169803
American Samoa,ASM,Regulatory Quality: Estimate,RQ.EST,0.3902979,0.3632333,0.366314,0.1808667,0.1724523,0.1366879,-0.2525457,-0.2859912,-0.2996039,0.542098
American Samoa,ASM,Voice and Accountability: Estimate,VA.EST,1.009052,1.025672,1.004767,..,..,..,..,1.463231,1.272752,1.056903
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,0.4868152,0.4858532,0.490504,0.4412166,0.4871241,0.5310323,0.5624972,0.5495368,0.5423087,0.6968508
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.098677,1.102387,1.107993,1.410016,1.345114,1.340514,1.361758,1.364065,1.335337,1.193629
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.279336,1.267989,1.260759,1.225432,1.218931,1.228804,1.245126,1.239041,1.234696,1.314374
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.302488,1.290351,1.283926,1.286593,1.391288,1.413419,1.421869,1.417627,1.602202,1.618512
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.617491,1.568978,1.567499,0.8850665,0.9129404,0.8714429,1.209727,1.193258,1.228282,1.339709
Andorra,AND,Voice and Accountability: Estimate,VA.EST,1.360453,1.433838,1.406642,1.165939,1.194477,1.176598,1.161647,1.036913,1.110124,1.089068
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.504564,1.531209,1.539562,1.71831,1.786852,1.860076,1.940301,1.943918,1.908389,1.825594
Andorra,AND,Rule of Law: Estimate,RL.EST,1.407784,1.407694,1.408947,1.64189,1.575856,1.578047,1.605818,1.607841,1.580232,1.698638
Angola,AGO,Control of Corruption: Estimate,CC.EST,-1.344277,-1.26847,-1.309463,-1.443944,-1.395014,-1.439528,-1.410953,-1.139192,-1.054451,-0.9270931
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3692378,-0.3893225,-0.3912335,-0.333232,-0.5008978,-0.3158988,-0.380449,-0.3356918,-0.358525,-0.520679
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-1.097776,-0.9697781,-1.054224,-0.9884589,-0.9091855,-1.00138,-1.042228,-0.8776826,-0.8940375,-0.9085017
Angola,AGO,Voice and Accountability: Estimate,VA.EST,-1.125478,-1.076247,-1.113843,-1.145494,-1.177248,-1.1396,-1.097939,-0.9063034,-0.7835322,-0.8106282
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.153529,-0.9896995,-1.22359,-1.124248,-1.000327,-1.03597,-1.026034,-1.045002,-1.11754,-1.181797
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.265322,-1.269484,-1.267944,-1.118245,-1.081989,-1.087554,-1.101168,-1.048343,-1.054597,-0.9631715
Anguilla,AIA,Control of Corruption: Estimate,CC.EST,1.279336,1.267989,1.260759,1.225432,1.218931,1.228804,1.245126,1.239041,1.234696,0.6787988
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.550928,1.47692,1.53398,1.164255,1.249272,1.315344,1.389452,1.287406,1.355694,1.540881
Anguilla,AIA,Regulatory Quality: Estimate,RQ.EST,1.372053,1.327829,1.327262,0.8850665,0.9129404,0.8714429,0.844159,0.8234454,0.8463107,0.9409034
Anguilla,AIA,Voice and Accountability: Estimate,VA.EST,1.009052,1.025672,1.004767,..,..,..,..,..,..,..
Anguilla,AIA,Government Effectiveness: Estimate,GE.EST,1.504564,1.531209,1.539562,0.9520539,1.007015,1.328458,0.8380581,0.828413,0.8155248,0.9790366
Anguilla,AIA,Rule of Law: Estimate,RL.EST,1.360548,1.364378,1.367801,0.0187731,-0.0393401,-0.0846848,-0.1025973,-0.0985886,0.3557552,0.4361146
