"","country","year","word_tokens","nrc","bing"
"1","Albania","2021","albanian",NA,NA
"2","Albania","2021","albanian",NA,NA
"3","Albania","2021","albanian",NA,NA
"4","Albania","2021","albanian",NA,NA
"5","Albania","2021","democracy","positive",NA
"6","Albania","2021","struggled",NA,"negative"
"7","Albania","2021","2020",NA,NA
"8","Albania","2021","2020",NA,NA
"9","Albania","2021","2020",NA,NA
"10","Albania","2021","2020",NA,NA
"11","Albania","2021","2020",NA,NA
"12","Albania","2021","2020",NA,NA
"13","Albania","2021","2020",NA,NA
"14","Albania","2021","attacks",NA,"negative"
"15","Albania","2021","attacks",NA,"negative"
"16","Albania","2021","attacks",NA,"negative"
"17","Albania","2021","civil","positive",NA
"18","Albania","2021","civil","positive",NA
"19","Albania","2021","civil","positive",NA
"20","Albania","2021","civil","positive",NA
"21","Albania","2021","civil","positive",NA
"22","Albania","2021","civil","positive",NA
"23","Albania","2021","society",NA,NA
"24","Albania","2021","society",NA,NA
"25","Albania","2021","society",NA,NA
"26","Albania","2021","society",NA,NA
"27","Albania","2021","society",NA,NA
"28","Albania","2021","institutions",NA,NA
"29","Albania","2021","institutions",NA,NA
"30","Albania","2021","institutions",NA,NA
"31","Albania","2021","institutions",NA,NA
"32","Albania","2021","independent",NA,NA
"33","Albania","2021","independent",NA,NA
"34","Albania","2021","independent",NA,NA
"35","Albania","2021","independent",NA,NA
"36","Albania","2021","media",NA,NA
"37","Albania","2021","media",NA,NA
"38","Albania","2021","media",NA,NA
"39","Albania","2021","media",NA,NA
"40","Albania","2021","media",NA,NA
"41","Albania","2021","media",NA,NA
"42","Albania","2021","government","fear",NA
"43","Albania","2021","government","fear",NA
"44","Albania","2021","government","fear",NA
"45","Albania","2021","government","fear",NA
"46","Albania","2021","government","fear",NA
"47","Albania","2021","government","fear",NA
"48","Albania","2021","government","negative",NA
"49","Albania","2021","government","negative",NA
"50","Albania","2021","government","negative",NA
"51","Albania","2021","government","negative",NA
"52","Albania","2021","government","negative",NA
"53","Albania","2021","government","negative",NA
"54","Albania","2021","moved",NA,NA
"55","Albania","2021","forward","positive",NA
"56","Albania","2021","vetting",NA,NA
"57","Albania","2021","vetting",NA,NA
"58","Albania","2021","judges",NA,NA
"59","Albania","2021","judges",NA,NA
"60","Albania","2021","judges",NA,NA
"61","Albania","2021","judges",NA,NA
"62","Albania","2021","prosecutors",NA,NA
"63","Albania","2021","prosecutors",NA,NA
"64","Albania","2021","nominated",NA,NA
"65","Albania","2021","judges",NA,NA
"66","Albania","2021","judges",NA,NA
"67","Albania","2021","judges",NA,NA
"68","Albania","2021","judges",NA,NA
"69","Albania","2021","supreme","positive","positive"
"70","Albania","2021","supreme","positive","positive"
"71","Albania","2021","court","anger",NA
"72","Albania","2021","court","anger",NA
"73","Albania","2021","court","anger",NA
"74","Albania","2021","court","anger",NA
"75","Albania","2021","court","anger",NA
"76","Albania","2021","court","anger",NA
"77","Albania","2021","court","anger",NA
"78","Albania","2021","court","anger",NA
"79","Albania","2021","court","anticipation",NA
"80","Albania","2021","court","anticipation",NA
"81","Albania","2021","court","anticipation",NA
"82","Albania","2021","court","anticipation",NA
"83","Albania","2021","court","anticipation",NA
"84","Albania","2021","court","anticipation",NA
"85","Albania","2021","court","anticipation",NA
"86","Albania","2021","court","anticipation",NA
"87","Albania","2021","court","fear",NA
"88","Albania","2021","court","fear",NA
"89","Albania","2021","court","fear",NA
"90","Albania","2021","court","fear",NA
"91","Albania","2021","court","fear",NA
"92","Albania","2021","court","fear",NA
"93","Albania","2021","court","fear",NA
"94","Albania","2021","court","fear",NA
"95","Albania","2021","elected",NA,NA
"96","Albania","2021","elected",NA,NA
"97","Albania","2021","constitutional","positive",NA
"98","Albania","2021","constitutional","positive",NA
"99","Albania","2021","constitutional","positive",NA
"100","Albania","2021","constitutional","trust",NA
"101","Albania","2021","constitutional","trust",NA
"102","Albania","2021","constitutional","trust",NA
"103","Albania","2021","court","anger",NA
"104","Albania","2021","court","anger",NA
"105","Albania","2021","court","anger",NA
"106","Albania","2021","court","anger",NA
"107","Albania","2021","court","anger",NA
"108","Albania","2021","court","anger",NA
"109","Albania","2021","court","anger",NA
"110","Albania","2021","court","anger",NA
"111","Albania","2021","court","anticipation",NA
"112","Albania","2021","court","anticipation",NA
"113","Albania","2021","court","anticipation",NA
"114","Albania","2021","court","anticipation",NA
"115","Albania","2021","court","anticipation",NA
"116","Albania","2021","court","anticipation",NA
"117","Albania","2021","court","anticipation",NA
"118","Albania","2021","court","anticipation",NA
"119","Albania","2021","court","fear",NA
"120","Albania","2021","court","fear",NA
"121","Albania","2021","court","fear",NA
"122","Albania","2021","court","fear",NA
"123","Albania","2021","court","fear",NA
"124","Albania","2021","court","fear",NA
"125","Albania","2021","court","fear",NA
"126","Albania","2021","court","fear",NA
"127","Albania","2021","appointed",NA,NA
"128","Albania","2021","appointed",NA,NA
"129","Albania","2021","appointed",NA,NA
"130","Albania","2021","national",NA,NA
"131","Albania","2021","national",NA,NA
"132","Albania","2021","national",NA,NA
"133","Albania","2021","bureau",NA,NA
"134","Albania","2021","investigation","anticipation",NA
"135","Albania","2021","nbi",NA,NA
"136","Albania","2021","director","positive",NA
"137","Albania","2021","director","trust",NA
"138","Albania","2021","functional",NA,NA
"139","Albania","2021","special","joy",NA
"140","Albania","2021","special","positive",NA
"141","Albania","2021","anti",NA,NA
"142","Albania","2021","corruption","disgust","negative"
"143","Albania","2021","corruption","disgust","negative"
"144","Albania","2021","corruption","negative","negative"
"145","Albania","2021","corruption","negative","negative"
"146","Albania","2021","structure","positive",NA
"147","Albania","2021","structure","trust",NA
"148","Albania","2021","spak",NA,NA
"149","Albania","2021","spak",NA,NA
"150","Albania","2021","spak",NA,NA
"151","Albania","2021","march","positive",NA
"152","Albania","2021","march","positive",NA
"153","Albania","2021","25",NA,NA
"154","Albania","2021","25",NA,NA
"155","Albania","2021","european",NA,NA
"156","Albania","2021","union",NA,NA
"157","Albania","2021","eu",NA,NA
"158","Albania","2021","eu",NA,NA
"159","Albania","2021","eu",NA,NA
"160","Albania","2021","council","anticipation",NA
"161","Albania","2021","council","positive",NA
"162","Albania","2021","council","trust",NA
"163","Albania","2021","decided",NA,NA
"164","Albania","2021","greenlight",NA,NA
"165","Albania","2021","accession",NA,NA
"166","Albania","2021","accession",NA,NA
"167","Albania","2021","negotiations",NA,NA
"168","Albania","2021","negotiations",NA,NA
"169","Albania","2021","albania",NA,NA
"170","Albania","2021","albania",NA,NA
"171","Albania","2021","albania",NA,NA
"172","Albania","2021","albania",NA,NA
"173","Albania","2021","conditional",NA,NA
"174","Albania","2021","fulfilment",NA,NA
"175","Albania","2021","15",NA,NA
"176","Albania","2021","conditions",NA,NA
"177","Albania","2021","conditions",NA,NA
"178","Albania","2021","intergovernmental",NA,NA
"179","Albania","2021","conference",NA,NA
"180","Albania","2021","2020",NA,NA
"181","Albania","2021","2020",NA,NA
"182","Albania","2021","2020",NA,NA
"183","Albania","2021","2020",NA,NA
"184","Albania","2021","2020",NA,NA
"185","Albania","2021","2020",NA,NA
"186","Albania","2021","2020",NA,NA
"187","Albania","2021","hoped",NA,NA
"188","Albania","2021","government","fear",NA
"189","Albania","2021","government","fear",NA
"190","Albania","2021","government","fear",NA
"191","Albania","2021","government","fear",NA
"192","Albania","2021","government","fear",NA
"193","Albania","2021","government","fear",NA
"194","Albania","2021","government","negative",NA
"195","Albania","2021","government","negative",NA
"196","Albania","2021","government","negative",NA
"197","Albania","2021","government","negative",NA
"198","Albania","2021","government","negative",NA
"199","Albania","2021","government","negative",NA
"200","Albania","2021","meet",NA,NA
"201","Albania","2021","conditions",NA,NA
"202","Albania","2021","conditions",NA,NA
"203","Albania","2021","laid",NA,NA
"204","Albania","2021","eu",NA,NA
"205","Albania","2021","eu",NA,NA
"206","Albania","2021","eu",NA,NA
"207","Albania","2021","aligning",NA,NA
"208","Albania","2021","media",NA,NA
"209","Albania","2021","media",NA,NA
"210","Albania","2021","media",NA,NA
"211","Albania","2021","media",NA,NA
"212","Albania","2021","media",NA,NA
"213","Albania","2021","media",NA,NA
"214","Albania","2021","law","trust",NA
"215","Albania","2021","law","trust",NA
"216","Albania","2021","amendments",NA,NA
"217","Albania","2021","amendments",NA,NA
"218","Albania","2021","amendments",NA,NA
"219","Albania","2021","amendments",NA,NA
"220","Albania","2021","venice",NA,NA
"221","Albania","2021","venice",NA,NA
"222","Albania","2021","venice",NA,NA
"223","Albania","2021","commission’s",NA,NA
"224","Albania","2021","recommendations",NA,"positive"
"225","Albania","2021","political",NA,NA
"226","Albania","2021","political",NA,NA
"227","Albania","2021","political",NA,NA
"228","Albania","2021","political",NA,NA
"229","Albania","2021","climate",NA,NA
"230","Albania","2021","albania",NA,NA
"231","Albania","2021","albania",NA,NA
"232","Albania","2021","albania",NA,NA
"233","Albania","2021","albania",NA,NA
"234","Albania","2021","tense",NA,"negative"
"235","Albania","2021","2020",NA,NA
"236","Albania","2021","2020",NA,NA
"237","Albania","2021","2020",NA,NA
"238","Albania","2021","2020",NA,NA
"239","Albania","2021","2020",NA,NA
